area_data_type,geography_type,geography_id,geography_desc,geography_desc_full,total_units,biz_res,technology,speed_02_02,speed_10_1,speed_25_3,speed_100_20,speed_250_25,speed_1000_100
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,Any Terrestrial,0.999479776,0.998959553,0.998829497,0.996748602,0.995448043,0.753544024
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,All Wired and Licensed Fixed Wireless,0.997528937,0.997398882,0.997398882,0.997008714,0.995448043,0.753544024
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,All Wired and Licensed Fixed Wireless,0.999479776,0.998959553,0.998829497,0.996748602,0.995448043,0.753544024
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,Copper,0,0,0,0,0.000000000,0
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,Copper,0.000000000,0,0,0,0,0
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,Cable/Fiber,0.995448043,0.995448043,0.995448043,0.995448043,0.995448043,0.753544024
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,Cable/Fiber,0.995578099,0.995578099,0.995578099,0.995578099,0.995448043,0.753544024
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,Cable,0.946677071,0.946677071,0.946677071,0.946677071,0.946677071,0.575107296
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,Cable,0.946677071,0.946677071,0.946677071,0.946677071,0.946677071,0.575107296
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,Fiber,0.965795292,0.965795292,0.965795292,0.965795292,0.965795292,0.537391078
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,Fiber,0.965925348,0.965925348,0.965925348,0.965925348,0.965795292,0.537391078
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.000000000
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,All Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,GSO Satellite,1.000000000,1.000000000,1.000000000,0,0,0
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,B,NGSO Satellite,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0
Total,Census Place,2400250,Accokeek,"Accokeek, MD",7689,R,All Fixed Wireless,0.919105215,0.791390298,0.791390298,0.454935622,0,0
