area_data_type,geography_type,geography_id,geography_desc,total_area,mobilebb_3g_area_st_pct,mobilebb_3g_area_iv_pct,mobilebb_4g_area_st_pct,mobilebb_4g_area_iv_pct,mobilebb_5g_spd1_area_st_pct,mobilebb_5g_spd1_area_iv_pct,mobilebb_5g_spd2_area_st_pct,mobilebb_5g_spd2_area_iv_pct
Total,Census Place,2409100,"Braddock Heights, MD",14.009222500,0.000000000,0.000000000,1.000000000,0.879699248,0.992481203,0.902255639,0.954887218,0.812030075
Total,Census Place,2409325,"Brandywine, MD",56.879550000,0.000000000,0.000000000,1.000000000,0.898148148,1.000000000,0.929629630,0.981481481,0.777777778
Total,Census Place,2409400,"Breathedsville, MD",1.158657500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2409500,"Brentwood, MD",0.842660000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2410150,"Brock Hall, MD",26.649122500,0.000000000,0.000000000,1.000000000,0.881422925,1.000000000,0.948616601,0.952569170,0.731225296
Total,Census Place,2410225,"Brookeville, MD",0.421330000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.750000000
Total,Census Place,2410475,"Brooklyn Park, MD",11.270577500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2410500,"Brookmont, MD",5.477290000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.980769231,1.000000000,0.846153846
Total,Census Place,2410575,"Brookview, MD",0.105332500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.000000000,1.000000000,0.000000000
Total,Census Place,2410650,"Broomes Island, MD",1.790652500,0.000000000,0.000000000,1.000000000,0.411764706,0.764705882,0.352941176,0.529411765,0.058823529
Total,Census Place,2410737,"Brown Station, MD",16.537202500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.993630573,0.993630573,0.885350318
Total,Census Place,2410800,"Brownsville, MD",0.737327500,0.000000000,0.000000000,1.000000000,0.857142857,1.000000000,1.000000000,1.000000000,0.428571429
Total,Census Place,2410900,"Brunswick, MD",9.795922500,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.935483871,1.000000000,0.870967742
Total,Census Place,2410925,"Bryans Road, MD",41.395672500,0.000000000,0.000000000,0.997455471,0.786259542,0.992366412,0.707379135,0.882951654,0.587786260
Total,Census Place,2410950,"Bryantown, MD",11.270577500,0.000000000,0.000000000,1.000000000,0.757009346,1.000000000,0.738317757,0.869158879,0.523364486
Total,Census Place,2411050,"Buckeystown, MD",2.317315000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.954545455,1.000000000,0.681818182
Total,Census Place,2411400,"Burkittsville, MD",1.263990000,0.000000000,0.000000000,1.000000000,0.916666667,1.000000000,1.000000000,1.000000000,1.000000000
Total,Census Place,2411550,"Burnt Mills, MD",1.895985000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.944444444
Total,Census Place,2411750,"Burtonsville, MD",22.119825000,0.000000000,0.000000000,1.000000000,0.952380952,1.000000000,0.952380952,0.971428571,0.819047619
Total,Census Place,2411900,"Butlertown, MD",2.001317500,0.000000000,0.000000000,1.000000000,0.736842105,0.842105263,0.157894737,0.473684211,0.105263158
Total,Census Place,2412075,"Cabin John, MD",4.423965000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.952380952
Total,Census Place,2412150,"California, MD",40.026350000,0.000000000,0.000000000,1.000000000,0.934210526,1.000000000,0.997368421,1.000000000,0.976315789
Total,Census Place,2412175,"Callaway, MD",12.639900000,0.000000000,0.000000000,1.000000000,0.883333333,1.000000000,1.000000000,1.000000000,0.991666667
Total,Census Place,2412300,"Calvert Beach, MD",2.211982500,0.000000000,0.000000000,1.000000000,0.380952381,1.000000000,0.476190476,0.809523810,0.238095238
Total,Census Place,2412350,"Calverton, MD",12.218570000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000,1.000000000,0.974137931
Total,Census Place,2412400,"Cambridge, MD",35.181055000,0.000000000,0.000000000,1.000000000,0.910179641,0.976047904,0.625748503,0.886227545,0.449101796
Total,Census Place,2412600,"Camp Springs, MD",20.434505000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.989690722,0.994845361,0.927835052
Total,Census Place,2412912,"Cape St. Claire, MD",6.530615000,0.000000000,0.000000000,1.000000000,0.983870968,1.000000000,1.000000000,1.000000000,0.983870968
Total,Census Place,2413000,"Capitol Heights, MD",2.317315000,0.000000000,0.000000000,1.000000000,1.000000000,1.000000000,0.954545455,1.000000000,0.772727273
